gender,age,height,weight,bust_circumference,waist_circumference,hip_circumference
M,18.0,"1,674",52.9,790,655,851
M,18.0,"1,678",55.8,825,654,880
M,23.0,"1,790",57.5,800,650,870
F,37.0,"1,626",66.3,962,820,997
M,24.0,"1,722",69.2,948,785,937
M,57.0,"1,696",72.5,940,894,936
M,33.0,"1,710",72.7,940,810,988
F,19.0,"1,557",49.5,814,690,900
F,38.0,"1,577",62.1,885,745,"1,025"
M,17.0,"1,654",61.3,845,738,910
F,26.0,"1,744",89.0,"1,042",908,"1,084"
F,58.0,"1,539",54.6,891,800,875
F,16.0,"1,614",55.4,830,690,966
M,62.0,"1,716",75.9,"1,012",900,932
M,16.0,"1,714",59.2,823,690,890
F,45.0,"1,700",72.7,941,854,"1,055"
M,26.0,"1,770",69.2,895,785,935
F,35.0,"1,562",46.7,778,634,893
M,34.0,"1,640",72.3,910,858,"1,008"
M,25.0,"1,710",55.9,835,725,864
M,20.0,"1,739",67.2,955,830,930
M,35.0,"1,796",80.2,990,870,"1,004"
F,33.0,"1,605",58.0,872,756,945
F,16.0,"1,572",54.2,803,707,920
M,26.0,"1,786",72.8,971,813,940
F,46.0,"1,490",62.7,930,835,"1,005"
M,37.0,"1,766",77.1,958,890,982
M,16.0,"1,679",83.3,"1,012",896,"1,070"
M,29.0,"1,713",59.0,828,697,902
F,19.0,"1,646",59.7,875,795,985
F,31.0,"1,600",52.0,806,746,933
M,38.0,"1,695",76.6,999,890,962
M,24.0,"1,715",70.6,906,789,977
F,33.0,"1,565",46.1,736,670,911
F,25.0,"1,655",49.0,776,673,895
M,42.0,"1,770",64.8,895,735,915
M,20.0,"1,739",79.7,"1,012",888,982
F,42.0,"1,654",57.2,825,748,935
F,42.0,"1,580",67.3,986,900,"1,015"
F,18.0,"1,630",52.6,878,678,905
M,31.0,"1,770",69.1,895,760,920
F,46.0,"1,646",54.2,822,720,928
M,35.0,"1,691",57.4,893,765,872
F,17.0,"1,600",74.5,995,811,"1,055"
F,22.0,"1,500",49.8,814,670,962
M,48.0,"1,696",69.7,910,838,945
M,26.0,"1,718",68.3,874,795,937
M,56.0,"1,652",72.4,965,942,945
M,21.0,"1,734",66.0,880,765,920
M,26.0,"1,641",63.4,835,797,817
F,18.0,"1,625",61.6,858,675,963
M,18.0,"1,778",83.2,946,875,"1,080"
M,35.0,"1,682",71.5,911,805,972
M,24.0,"1,695",73.3,931,881,953
M,16.0,"1,630",68.0,930,825,970
F,21.0,"1,595",53.0,842,735,898
M,36.0,"1,838",80.9,967,819,970
M,24.0,"1,753",92.2,"1,093",990,"1,070"
M,19.0,"1,730",67.2,920,715,928
M,39.0,"1,770",88.0,992,955,"1,048"
F,18.0,"1,660",73.9,970,921,"1,005"
M,37.0,"1,711",71.4,966,852,955
F,37.0,"1,625",53.0,820,682,915
F,20.0,"1,540",57.7,940,745,913
M,19.0,"1,760",85.1,994,992,"1,043"
M,16.0,"1,655",45.0,766,616,780
F,31.0,"1,558",51.1,886,765,880
F,19.0,"1,558",49.9,747,641,910
F,34.0,"1,643",56.2,810,700,934
F,18.0,"1,662",63.9,872,735,967
F,47.0,"1,584",68.2,"1,015",889,991
M,36.0,"1,738",102.5,"1,050","1,041","1,091"
M,25.0,"1,786",75.6,920,782,956
M,22.0,"1,767",69.0,903,759,935
M,25.0,"1,744",64.4,904,742,905
F,16.0,"1,570",56.6,890,736,925
F,33.0,"1,636",58.7,841,730,981
F,35.0,"1,586",56.4,920,756,905
F,17.0,"1,635",66.3,945,860,975
F,19.0,"1,563",55.9,874,746,906
F,18.0,"1,557",51.8,775,684,825
M,29.0,"1,746",80.2,"1,020",851,985
F,35.0,"1,686",54.4,815,690,919
M,19.0,"1,681",59.8,845,760,938
M,17.0,"1,707",73.4,910,770,990
F,26.0,"1,670",58.3,851,700,984
M,35.0,"1,783",102.1,"1,048","1,036","1,100"
F,16.0,"1,585",51.4,831,705,926
M,39.0,"1,732",81.2,971,905,"1,002"
F,18.0,"1,616",52.3,811,684,916
F,16.0,"1,600",60.1,886,785,965
M,69.0,"1,675",69.3,950,832,950
F,34.0,"1,606",57.8,871,765,935
F,17.0,"1,593",60.3,852,703,963
M,41.0,"1,773",85.1,"1,013",862,"1,003"
F,26.0,"1,615",49.0,800,690,904
F,27.0,"1,684",63.6,890,725,980
M,22.0,"1,746",66.3,921,731,937
M,16.0,"1,674",66.7,854,770,946
M,19.0,"1,730",70.4,933,818,940
F,45.0,"1,631",52.9,805,716,901
F,39.0,"1,564",52.9,809,694,902
M,41.0,"1,688",73.3,"1,030",924,958
M,17.0,"1,694",59.9,810,748,898
F,59.0,"1,506",60.9,997,913,900
M,68.0,"1,560",44.0,780,666,805
F,31.0,"1,628",58.1,875,740,956
M,51.0,"1,726",77.5,986,903,992
F,54.0,"1,549",50.9,891,745,856
F,27.0,"1,594",49.8,810,691,935
M,26.0,"1,892",103.7,"1,056",958,"1,104"
F,22.0,"1,690",60.5,852,730,955
F,25.0,"1,577",52.2,830,682,930
M,59.0,"1,607",65.1,943,888,935
M,33.0,"1,785",92.9,"1,046",945,"1,025"
F,39.0,"1,624",48.2,825,670,899
F,19.0,"1,566",57.2,830,760,995
M,17.0,"1,688",73.5,931,805,971
M,54.0,"1,705",73.9,972,902,960
M,35.0,"1,629",44.3,769,649,776
F,20.0,"1,732",60.3,855,690,950
F,33.0,"1,666",53.8,825,672,880
